@relation 02_Glass

@attribute Attr1 numeric
@attribute Attr2 numeric
@attribute Attr3 numeric
@attribute Attr4 numeric
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 numeric
@attribute DEC {1,2,3,5,6,7}

@data
20.851736,34.436106,89.949746,38.00623,59.107171,11.111111,23.513012,0,0,2
23.26628,40.751883,90.703515,38.940809,46.071411,10.62802,24.163566,0,0,2
22.476085,34.135347,89.949746,38.940809,53.928589,9.822867,24.256505,0,0,2
21.861198,47.969936,88.44221,29.906542,54.821363,5.958132,23.327138,0,27.450981,2
20.851736,31.428576,88.44221,50.155763,54.464281,11.111111,23.605946,0,0,2
20.939652,32.030079,88.44221,57.009342,50.892911,11.111111,23.605946,0,0,2
20.98361,37.894746,86.683418,35.514017,59.999946,9.822867,22.583644,0,0,2
23.309715,40.300759,89.195978,29.906542,53.57137,10.950081,24.81413,0,0,2
21.027045,35.488733,88.44221,39.252335,54.64289,10.950081,24.349444,0,17.64706,2
12.905825,52.932341,77.638188,55.763238,44.107117,17.713366,15.334572,0,0,2
22.388169,39.548876,89.949746,37.383178,51.964294,7.246377,25.836431,0,0,2
19.929667,37.744367,87.688442,36.760126,61.428548,6.119163,24.163566,0,0,2
23.26628,40.150379,87.688442,38.317757,50.714301,10.78905,24.628252,0,19.607844,2
22.080987,34.285727,87.939698,37.071652,54.999973,9.661836,24.999999,0,0,2
23.046491,27.368432,87.437186,49.221184,61.071466,10.144927,24.628252,0,17.64706,2
31.869989,33.08272,93.969849,25.545172,44.107117,10.305958,32.806691,0,43.137255,2
21.510058,32.631582,86.432162,36.137073,58.035651,7.085346,26.394056,0,0,2
20.763821,35.939857,85.678394,40.186917,61.607157,1.127214,27.509297,0,37.254902,2
20.851736,37.744367,83.919595,36.760126,58.749952,6.280193,25.92937,0,0,2
22.563477,29.774445,83.668339,37.383178,61.96424,10.78905,26.115239,0,0,2
32.704143,39.548876,86.180906,35.514017,43.750034,8.21256,29.46097,0,0,2
31.869989,34.436106,90.954771,23.987537,45.1785,10.305958,34.386618,0,29.411766,2
27.567873,22.105268,81.658291,27.102803,66.78574,9.983897,32.249067,0,47.058823,2
25.19781,29.172942,72.361812,44.236761,60.714247,11.755234,28.903345,0,0,2
30.553346,33.533844,74.37186,35.514017,55.535665,9.661836,31.226765,4.444444,0,2
23.704812,30.375948,71.608037,35.825547,61.785631,9.178744,31.226765,3.492063,43.137255,2
26.997467,24.360916,68.341709,41.744548,54.64289,11.272141,35.31598,0,0,2
30.948444,28.421059,69.346733,16.82243,71.428494,5.636071,37.081784,0,39.215688,2
70.676428,46.165426,79.145731,11.526481,13.571452,1.288245,57.713756,0,0,2
56.84801,46.61655,72.864324,27.414329,23.928616,1.288245,49.814124,0,0,2
59.70161,10.827072,0,49.53271,42.500041,13.043478,72.583638,0,66.666669,2
88.23551,0,0,56.38629,0,9.339774,73.141263,100,54.901962,2
100,23.609034,0,22.11838,6.250102,1.932367,100,0,47.058823,2
48.595441,55.639112,0,22.11838,51.071384,1.610306,56.598515,0,15.686274,2
30.860528,44.962419,0,8.411215,82.857042,0,51.672859,0,0,2
67.99866,7.518797,0,14.953271,60.714247,0,85.966542,0,0,2
71.290792,4.360916,0,14.330218,58.39287,0,88.568769,0,0,2
72.959098,28.721818,0,11.838007,39.464226,0.966184,83.364305,0,0,2
34.108702,41.052641,96.231153,30.218068,48.928616,9.178744,25.836431,0,27.450981,2
32.133737,35.639112,99.748744,28.037385,46.964322,9.661836,27.881044,0,0,2
32.089779,40.300759,97.738696,32.398755,45.892802,8.21256,26.486986,0,0,2
31.343541,37.744367,97.989952,34.890965,45.000027,8.856683,26.765803,0,19.607844,2
26.03144,44.962419,92.462313,47.352023,40.178528,10.305958,22.769518,0,0,2
24.495008,38.646629,91.457289,38.629283,48.571397,10.466988,24.163566,0,56.862745,2
23.573462,42.556407,89.69849,36.760126,47.142795,10.305958,23.513012,0,0,2
32.001863,37.894746,94.472361,32.087229,46.25002,9.339774,27.788105,0,0,2
24.056475,33.08272,88.944722,41.433022,56.249966,10.305958,24.163566,0,41.17647,2
25.109895,37.593987,88.944722,37.071652,54.107062,9.017713,24.81413,0,0,2
25.988006,41.353386,87.437186,44.236761,48.392788,9.983897,23.791819,0,0,2
46.619953,37.142863,92.462313,26.791277,52.499986,8.695652,28.717476,0,0,2
33.231114,33.08272,91.959801,39.563861,48.214315,9.339774,28.996284,0,23.529412,2
24.231784,33.233085,90.703515,30.218068,52.499986,9.017713,29.46097,0,0,2
42.405752,45.864667,57.286431,35.514017,38.928534,7.890499,41.078069,0,33.333334,2
41.834823,42.406027,52.51256,42.990653,42.321431,8.534621,38.475833,8.571429,33.333334,2
39.727984,48.872183,33.919598,41.744548,34.821472,6.280193,47.676582,0,35.29412,2
46.619953,45.413543,25.376884,33.333334,42.500041,5.31401,53.066916,0,0,2
65.803383,44.661661,0,33.333334,25.535692,3.059581,74.442372,0,19.607844,2
30.640738,40.601518,100,27.725855,47.857096,9.339774,25.278807,0,0,2
30.070333,44.81204,98.74372,38.940809,35.714247,8.695652,25.836431,0,29.411766,2
30.553346,39.097752,96.733665,29.906542,53.035678,8.373591,24.999999,0,0,2
29.587319,36.992484,97.989952,31.464173,45.000027,8.856683,27.973974,0,54.901962,2
30.333557,34.135347,95.477385,24.610593,58.21426,9.017713,27.416358,0,23.529412,2
26.163314,32.481217,90.954771,39.875391,56.249966,9.822867,24.90706,0,0,2
24.538966,30.977452,88.44221,38.940809,63.392843,10.62802,22.955391,0,0,2
24.538966,32.180458,89.447234,42.056074,59.464254,10.466988,23.791819,0,0,2
25.241245,39.097752,88.944722,41.121496,48.750007,10.950081,24.90706,0,0,2
32.309045,37.142863,91.206033,24.299067,53.928589,9.178744,27.695166,2.857143,33.333334,2
24.012518,31.879714,88.190954,35.825547,57.142877,10.950081,26.0223,1.904762,49.019609,2
26.075398,34.135347,87.18593,46.728971,51.964294,10.62802,25.557624,0,0,2
23.924602,33.984968,79.899499,29.28349,56.428575,9.339774,31.412643,0,47.058823,2
31.782597,31.879714,92.211057,29.595016,49.285699,9.983897,30.204463,0,68.627451,2
28.709208,43.909778,91.959801,25.545172,52.857069,1.771337,29.46097,0,0,3
21.729847,39.097752,88.693466,32.710282,51.071384,9.017713,26.951672,0,0,3
24.363657,37.744367,89.69849,33.956386,51.607076,9.017713,27.973974,0,19.607844,3
23.178364,21.503765,88.44221,33.021808,54.999973,9.178744,28.810406,0,0,3
24.143868,36.240616,86.683418,45.794392,47.678623,9.661836,27.416358,0,33.333334,3
44.425198,53.984968,97.989952,16.82243,30.178582,0,37.732339,0,0,3
29.148264,43.759413,91.708545,11.214953,56.964267,0.966184,32.527883,0,0,3
21.729847,40.451138,85.427138,28.971964,51.428603,9.500805,26.858733,0,0,3
25.417077,32.030079,89.949746,31.775699,50,9.822867,31.226765,0,0,3
23.309715,34.73685,85.427138,30.218068,57.142877,8.373591,29.275092,0,0,3
23.704812,40.300759,85.175882,30.841121,50.535692,8.373591,29.925647,0,0,3
44.161451,49.624066,94.472361,9.034268,35.357164,1.771337,39.219326,0,0,3
29.016913,42.105268,85.678394,38.317757,39.821445,9.339774,31.226765,0,0,3
29.894501,41.654145,84.422108,41.744548,38.03576,9.178744,31.412643,0,17.64706,3
31.474892,39.097752,83.919595,38.940809,41.60713,9.017713,33.085499,0,0,3
35.952839,43.759413,88.944722,14.330218,50.714301,2.576489,32.156137,4.761905,47.058823,3
48.112428,52.030079,94.974873,19.314643,27.678596,3.703704,34.479556,0,72.549022,3
17.515647,49.323321,67.336685,100,1.428603,27.053139,4.08922,69.841269,0,5
35.118686,30.07519,46.482412,48.909658,51.428603,9.661836,43.30855,0,0,5
46.356729,12.481217,47.236181,39.563861,54.464281,7.568438,55.576205,0,0,5
45.478618,4.511281,42.964825,39.563861,64.821445,9.339774,57.527878,0,0,5
37.489272,28.721818,0,42.367601,70.35711,6.119163,56.691445,0,0,5
24.187826,32.030079,0,47.975079,72.678487,15.619968,44.052044,0,0,5
38.586649,38.195505,0,45.794392,57.499959,7.568438,54.739772,0,0,5
55.048354,40.751883,0,40.186917,43.035733,5.152979,63.289958,0,0,5
8.823499,34.436106,0,85.669781,11.964376,100,14.219332,0,0,5
9.043288,34.135347,0,85.046728,15.892829,100,13.94052,0,0,5
40.737446,39.849635,0,34.579439,43.571425,5.31401,65.706317,0,0,5
41.396291,31.879714,40.452261,58.566981,42.321431,12.238325,39.684012,7.619047,100,5
44.074059,33.684223,8.291458,38.00623,63.928534,2.093398,54.275095,0,54.901962,5
34.679631,49.172942,60.050254,39.563861,45.714329,0,38.475833,0,0,6
36.08419,46.015047,60.552766,28.037385,52.678596,0,40.334576,0,0,6
31.343541,56.090236,56.281407,41.433022,45.892802,0,35.594797,0,0,6
32.353003,50.526328,55.025127,42.679127,51.071384,0,36.152413,0,0,6
8.077261,55.187974,43.718593,38.940809,84.642863,0,20.074351,0,0,6
33.933393,64.060157,19.597989,45.17134,48.035706,0,42.007432,0,0,6
35.162644,51.428576,0,56.074764,52.321377,0,50.650557,0,0,6
37.489272,57.594001,0,8.411215,65.535746,0,53.810409,0,0,6
0,100,0,1.557633,100,0,11.338292,0,0,6
0.70228,44.511281,80.402011,47.352023,53.57137,28.341385,0,37.777778,0,7
31.738639,53.984968,81.909547,60.124612,25.714301,23.510467,3.345726,51.74603,0,7
52.677768,40.751883,83.919595,29.28349,45.892802,9.661836,31.598512,0,0,7
49.692818,62.105268,55.276383,55.140185,8.035787,12.238325,40.241637,0,0,7
54.873045,76.090236,45.9799,31.775699,11.071466,4.991948,29.5539,53.33333,0,7
21.861198,47.368432,44.723617,46.728971,58.749952,0,30.111524,24.126983,0,7
21.378708,61.954903,0,65.109038,61.96424,0,30.947957,20.317459,17.64706,7
22.300253,52.180458,0,77.881619,65.178528,0.644122,33.550185,12.698413,17.64706,7
26.514454,60.451138,0,53.271028,57.32135,0,28.810406,50.47619,15.686274,7
24.934063,57.594001,0,52.647976,62.142849,0,28.717476,49.84127,13.725491,7
18.876248,51.27821,0,74.454831,63.928534,1.288245,33.828993,19.365079,9.803922,7
19.359262,47.218053,0,70.093457,61.071466,2.254428,36.988845,25.714285,1.960784,7
26.865594,59.699256,0,63.862926,61.96424,0,32.713752,20.952381,0,7
18.261884,54.88723,0,73.831778,58.749952,0.644122,33.921932,20.317459,0,7
21.68589,64.360916,0,69.158878,57.857178,0.805153,31.598512,16.825395,0,7
17.2519,66.46617,0,61.05919,65.892829,0,27.044611,19.999999,0,7
23.61742,18.34587,0,28.037385,95.892802,43.478261,32.527883,0,0,7
17.515647,61.954903,0,66.355143,69.821418,0,27.509297,17.777777,0,7
23.836686,61.203021,0,52.959502,58.928562,0,26.486986,54.285714,0,7
22.037029,63.458654,0,61.682243,62.321459,0,30.483271,21.269841,0,7
27.085383,63.458654,0,47.040497,56.785658,0,29.5539,49.206346,0,7
23.26628,63.308275,0,49.221184,58.928562,0,30.111524,43.809522,0,7
31.430934,55.037609,0,47.663553,54.464281,22.705313,9.665427,91.428572,0,7
23.046491,54.73685,0,76.323988,54.285671,0,37.360592,17.142857,0,7
22.300253,51.27821,0,80.685362,50,1.288245,34.851303,33.650791,0,7
25.021979,63.00753,0,52.959502,58.035651,0,27.602227,50.47619,0,7
41.703473,54.586471,0,53.894081,64.464226,0,27.973974,52.06349,0,7
23.529504,54.88723,0,51.401871,67.857123,0,28.34572,49.84127,0,7
26.163314,52.631582,0,55.763238,63.392843,0,29.646839,53.01587,0,7
